DATE,Instr,Open,High,Low,Last,Sett,CHG,Vol,P_set,P_vol,P_OI
2019-09-05,SEP19,16617.0,16617.0,16401.0,16426.0,16422,202.0,12516.0,16624,4965.0,18364.0
2019-09-05,DEC19,16521.0,16525.0,16307.0,16331.0,16328,202.0,426668.0,16530,238669.0,939137.0
2019-09-05,MAR20,16318.0,16318.0,16314.0,16314.0,16228,202.0,1.0,16430,1.0,2.0
2019-09-06,SEP19,16426.0,16517.0,16400.0,16506.0,16510,20.0,3149.0,16422,12516.0,10036.0
2019-09-06,DEC19,16400.0,16423.0,16306.0,16412.0,16416,20.0,308063.0,16328,449102.0,948102.0
2019-09-06,MAR20,16319.0,16319.0,16319.0,16319.0,16316,20.0,1.0,16228,1.0,3.0
2019-09-09,SEP19,16507.0,16509.0,16305.0,16307.0,16325,117.0,1576.0,16510,3149.0,9598.0
2019-09-09,DEC19,16413.0,16416.0,16210.0,16214.0,16231,117.0,236152.0,16416,322007.0,946169.0
2019-09-09,MAR20,,,,,16131,117.0,1.0,16316,1.0,3.0
2019-09-10,SEP19,16310.0,16326.0,16112.0,16119.0,16208,117.0,2000.0,16325,1576.0,9049.0
2019-09-10,DEC19,16214.0,16302.0,16018.0,16027.0,16115,116.0,387471.0,16231,244821.0,947892.0
2019-09-10,MAR20,,,,,16015,116.0,,16131,1.0,4.0
2019-09-11,SEP19,16126.0,16203.0,16106.0,16115.0,16123,17.0,699.0,16208,2846.0,8118.0
2019-09-11,DEC19,16029.0,16110.0,16012.0,16023.0,16030,17.0,326106.0,16115,396400.0,968050.0
2019-09-11,MAR20,,,,,15930,17.0,,16015,,4.0
2019-09-12,SEP19,16115.0,16302.0,16013.0,16029.0,16019,104.0,1512.0,16123,902.0,8134.0
2019-09-12,DEC19,16024.0,16209.0,15919.0,16004.0,15926,104.0,539981.0,16030,344887.0,971142.0
2019-09-12,MAR20,,,,,15826,104.0,,15930,,4.0
2019-09-13,SEP19,16025.0,16031.0,15810.0,15814.0,15812,207.0,972.0,16019,1512.0,7623.0
2019-09-13,DEC19,16003.0,16007.0,15717.0,15722.0,15720,206.0,446478.0,15926,552435.0,979606.0
2019-09-13,MAR20,15824.0,15824.0,15700.0,15700.0,15620,206.0,2.0,15826,,4.0
2019-09-16,SEP19,15827.0,16007.0,15823.0,15916.0,15923,111.0,983.0,15812,972.0,7569.0
2019-09-16,DEC19,15806.0,15915.0,15730.0,15825.0,15831,111.0,309549.0,15720,459708.0,983683.0
2019-09-16,MAR20,15801.0,15801.0,15801.0,15801.0,15731,111.0,1.0,15620,2.0,2.0
2019-09-17,SEP19,15925.0,16021.0,15912.0,16011.0,16005,14.0,720.0,15923,983.0,6909.0
2019-09-17,DEC19,15824.0,15928.0,15820.0,15920.0,15913,14.0,286383.0,15831,316491.0,987548.0
2019-09-17,MAR20,,,,,15813,14.0,,15731,1.0,3.0
2019-09-18,SEP19,16030.0,16114.0,16003.0,16022.0,16027,22.0,1292.0,16005,720.0,6686.0
2019-09-18,DEC19,15922.0,16024.0,15910.0,15930.0,16004,23.0,274382.0,15913,294741.0,981439.0
2019-09-18,MAR20,,,,,15905,24.0,,15813,,3.0
